,RespondentID,Knowledge,Interest,Algeria,Argentina,Australia,Belgium,Bosnia and Herzegovina,Brazil,Cameroon,Chile,Colombia,Costa Rica,Croatia,Ecuador,England,France,Germany,Ghana,Greece,Honduras,Iran,Italy,Ivory Coast,Japan,Mexico,the Netherlands,Nigeria,Portugal,Russia,South Korea,Spain,Switzerland,United States,Uruguay,China,India,Thailand,Turkey,Cuba,Ethiopia,Vietnam,Ireland,Gender,Age,Household Income,Education,Location
0,3308895255,Intermediate,Some,,3.0,5.0,4.0,,3.0,,4.0,,4.0,,,4.0,3.0,5.0,,,,,5.0,3.0,1.0,5.0,,,1.0,3.0,,,,5.0,2.0,4.0,5.0,4.0,,,3.0,,4.0,Male,18-29,"$100,000 - $149,999",Less than high school degree,West South Central
1,3308891308,Novice,Some,,,3.0,3.0,,3.0,,,,,,,4.0,4.0,4.0,,4.0,,,5.0,,3.0,5.0,,,,,,3.0,,4.0,,2.0,2.0,4.0,,,,,4.0,Male,18-29,"$100,000 - $149,999",Some college or Associate degree,West South Central
2,3308891135,Intermediate,A lot,3.0,4.0,,3.0,,4.0,5.0,5.0,4.0,5.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,3.0,4.0,5.0,,3.0,4.0,2.0,,3.0,2.0,4.0,4.0,2.0,3.0,,3.0,5.0,5.0,,4.0,5.0,4.0,3.0,Male,30-44,"$50,000 - $99,999",Graduate degree,Pacific
3,3308879091,Novice,Not much,,3.0,,3.0,,,3.0,3.0,2.0,4.0,,,3.0,3.0,3.0,,4.0,,3.0,3.0,,3.0,4.0,3.0,,4.0,3.0,3.0,3.0,3.0,3.0,,4.0,3.0,2.0,3.0,4.0,,4.0,3.0,Male,45-60,"$0 - $24,999",Less than high school degree,New England
4,3308871671,Novice,Not much,,,,,,,,,,,,,2.0,3.0,3.0,,,,,4.0,,2.0,4.0,,,,,,3.0,,3.0,,3.0,3.0,3.0,,3.0,,3.0,,Male,30-44,"$25,000 - $49,999",High school degree,Pacific
5,3308871406,Advanced,A lot,,4.0,3.0,5.0,3.0,5.0,,4.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,,5.0,,4.0,5.0,,5.0,5.0,4.0,,4.0,5.0,4.0,5.0,,2.0,3.0,3.0,5.0,5.0,5.0,5.0,,,3.0,Female,30-44,"$50,000 - $99,999",Graduate degree,East North Central
6,3308866182,Novice,Some,,3.0,,,,,,,,,,,,,,,,,,3.0,,3.0,3.0,,,,,,3.0,,4.0,,3.0,2.0,,,,,3.0,,Male,45-60,,High school degree,West South Central
7,3308857114,Advanced,A lot,,5.0,4.0,3.0,,4.0,,4.0,4.0,4.0,,3.0,3.0,5.0,5.0,,4.0,3.0,,5.0,,4.0,4.0,4.0,,4.0,3.0,3.0,5.0,5.0,5.0,3.0,4.0,4.0,3.0,3.0,5.0,,3.0,4.0,Male,45-60,"$0 - $24,999",Some college or Associate degree,South Atlantic
8,3308856510,Novice,Not much,,,,,,,,,4.0,,,,3.0,,4.0,,4.0,,,4.0,,3.0,4.0,,,,,,,,4.0,,3.0,4.0,3.0,,4.0,,4.0,4.0,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
10,3308845993,Advanced,A lot,,,,,,3.0,,,,,,,2.0,5.0,2.0,,4.0,,,5.0,,5.0,4.0,,,,2.0,3.0,3.0,,5.0,,4.0,4.0,4.0,,3.0,3.0,3.0,3.0,Male,30-44,"$50,000 - $99,999",Bachelor degree,Mountain
11,3308837085,Novice,Some,,,,,,,,,,,,,2.0,4.0,,,,,,3.0,,3.0,3.0,,,,,2.0,3.0,,4.0,,3.0,2.0,3.0,2.0,,,3.0,3.0,Male,> 60,"$0 - $24,999",Some college or Associate degree,South Atlantic
12,3308834022,Intermediate,A lot,3.0,3.0,2.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,2.0,5.0,5.0,4.0,4.0,3.0,5.0,3.0,4.0,4.0,,5.0,4.0,4.0,,,1.0,3.0,4.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,,3.0,,,Male,18-29,"$25,000 - $49,999",High school degree,Middle Atlantic
13,3308832927,Intermediate,Some,,,,5.0,,3.0,,,,,,,2.0,5.0,2.0,,2.0,,,5.0,,4.0,3.0,,,3.0,,3.0,5.0,2.0,3.0,,4.0,1.0,4.0,,,,3.0,2.0,Female,30-44,,Bachelor degree,Middle Atlantic
14,3308823251,Intermediate,Some,,,,,,3.0,,,,,,,3.0,4.0,3.0,,4.0,,,4.0,,4.0,4.0,,,,2.0,3.0,3.0,3.0,3.0,,3.0,4.0,4.0,,4.0,4.0,4.0,3.0,Female,30-44,"$50,000 - $99,999",Graduate degree,Pacific
15,3308819174,Intermediate,Some,,,,,,,,,,,,,,,,,,,3.0,4.0,,4.0,5.0,,,2.0,,,,,3.0,,,3.0,5.0,,,,3.0,,Female,30-44,"$25,000 - $49,999",Some college or Associate degree,Pacific
16,3308816847,Novice,Not at all,,,,,,,,,,,,,3.0,4.0,4.0,,3.0,,,4.0,,,4.0,,,,,,,,4.0,,4.0,,,,,,,3.0,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,Pacific
18,3308815266,Novice,Not much,,,,,,,,,,,,,3.0,,3.0,,3.0,,,5.0,,,3.0,,,,,,,,4.0,,,,,,,,,,Male,> 60,"$0 - $24,999",Some college or Associate degree,Middle Atlantic
19,3308813105,Novice,Some,,,,,,,,,,,,,3.0,2.0,4.0,,2.0,,,,,3.0,,,,,4.0,4.0,,,3.0,,3.0,,,,,,,,Male,45-60,,Some college or Associate degree,Mountain
20,3308809158,Intermediate,A lot,4.0,3.0,3.0,,,3.0,,,1.0,4.0,3.0,,4.0,3.0,4.0,,4.0,4.0,,4.0,,5.0,5.0,,,,5.0,,4.0,3.0,4.0,,5.0,4.0,4.0,4.0,,,,,Male,18-29,"$0 - $24,999",Bachelor degree,East North Central
21,3308805258,Novice,Some,,,,,,,,,,,,,3.0,,4.0,,4.0,,,5.0,,3.0,5.0,,,,2.0,2.0,2.0,,4.0,,4.0,4.0,5.0,,,,1.0,2.0,Male,18-29,"$0 - $24,999",Some college or Associate degree,Mountain
23,3308800049,Novice,Some,,,,,,,,,,,,,3.0,3.0,5.0,,3.0,,,2.0,,,4.0,,,,,,,,4.0,,,1.0,,,,,,,Male,30-44,"$25,000 - $49,999",Some college or Associate degree,East South Central
24,3308799446,Novice,Not at all,,,1.0,,,,,,,,,,,4.0,5.0,,,1.0,,5.0,,4.0,4.0,,,,1.0,,4.0,,3.0,,4.0,3.0,5.0,,,,5.0,4.0,Male,18-29,"$150,000+",Some college or Associate degree,West North Central
25,3308793678,Intermediate,Some,,3.0,,,,3.0,,3.0,,,,,3.0,3.0,4.0,,2.0,,,5.0,,4.0,5.0,,1.0,,1.0,,3.0,3.0,5.0,1.0,5.0,2.0,1.0,,,,1.0,3.0,Male,> 60,"$100,000 - $149,999",Graduate degree,East North Central
27,3308784370,Intermediate,A lot,3.0,3.0,3.0,3.0,4.0,4.0,,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,,4.0,,3.0,3.0,,2.0,4.0,4.0,,,3.0,3.0,3.0,3.0,3.0,,2.0,4.0,5.0,,4.0,4.0,3.0,3.0,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,Mountain
28,3308779771,Intermediate,Some,,,4.0,4.0,,,,,,,,,4.0,4.0,4.0,,5.0,,,5.0,,4.0,2.0,3.0,,4.0,2.0,,4.0,4.0,4.0,,3.0,4.0,3.0,,,,3.0,4.0,Male,> 60,"$50,000 - $99,999",Graduate degree,New England
29,3308777531,Intermediate,Some,,,,,,,,,,3.0,,,2.0,3.0,2.0,3.0,2.0,,,4.0,,3.0,4.0,,,,,,4.0,,4.0,,2.0,2.0,5.0,,3.0,,3.0,4.0,Female,30-44,"$50,000 - $99,999",Graduate degree,South Atlantic
30,3308765568,Intermediate,Some,,3.0,,,,4.0,,4.0,4.0,4.0,,3.0,3.0,3.0,5.0,,3.0,4.0,,5.0,3.0,5.0,5.0,4.0,,3.0,,4.0,5.0,4.0,4.0,,5.0,4.0,4.0,3.0,4.0,,3.0,4.0,Female,30-44,"$25,000 - $49,999",Some college or Associate degree,West South Central
31,3308761752,Intermediate,Not much,,,,,,,,,,,,,,,,,,,,,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,,,3.0,2.0,3.0,,,,,
32,3308760375,Advanced,A lot,,,,,,,,4.0,4.0,,,,3.0,5.0,4.0,,3.0,,,5.0,,,4.0,,,,,,3.0,,5.0,,,,,,4.0,,4.0,,Male,> 60,"$150,000+",Some college or Associate degree,New England
